                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.4933,                0.38699,                   1.01,                0.93204,                 0.8779,                0.95594,                0.77683,                0.85961,                0.50716,                 1.2964,               0.001585,               0.001585,               0.001585
                     87,                0.49338,                0.39925,                 1.0156,                0.94173,                0.88886,                0.95419,                 0.7885,                0.83314,                0.49484,                 1.2764,               0.001486,               0.001486,               0.001486
                     88,                0.48587,                0.39214,                 1.0091,                0.92589,                0.89809,                0.95388,                 0.7918,                0.83495,                0.51722,                 1.2775,               0.001387,               0.001387,               0.001387
                     89,                0.48728,                0.38897,                  1.012,                0.92276,                0.89218,                0.95707,                0.79426,                0.83148,                0.49461,                 1.2617,               0.001288,               0.001288,               0.001288
                     90,                0.35686,                0.21141,                0.93561,                 0.9052,                0.88757,                0.94536,                 0.7772,                0.82724,                0.53542,                 1.2867,               0.001189,               0.001189,               0.001189
                     91,                0.34741,                0.20309,                0.92432,                0.93189,                 0.8767,                0.95338,                0.79121,                0.78808,                 0.4913,                 1.2446,                0.00109,                0.00109,                0.00109
                     92,                 0.3397,                0.19813,                0.91533,                0.91578,                0.89018,                 0.9566,                0.77439,                0.85813,                0.53349,                 1.3109,               0.000991,               0.000991,               0.000991
                     93,                0.33208,                0.19632,                0.91456,                0.92294,                0.89027,                0.94947,                0.78528,                0.81516,                0.49942,                  1.264,               0.000892,               0.000892,               0.000892
                     94,                0.33492,                0.19514,                0.91379,                0.91319,                0.87717,                0.94807,                0.78716,                0.80415,                0.53071,                 1.2461,               0.000793,               0.000793,               0.000793
                     95,                0.32649,                0.19124,                0.90892,                0.92623,                0.86772,                0.95244,                0.79005,                0.81827,                0.49418,                 1.2647,               0.000694,               0.000694,               0.000694
                     96,                0.32035,                0.18593,                0.89625,                0.92065,                0.86645,                0.95124,                0.78668,                0.81164,                0.51013,                 1.2738,               0.000595,               0.000595,               0.000595
                     97,                0.32101,                0.18656,                0.91052,                0.91217,                0.86894,                0.95083,                0.78533,                0.81743,                0.50056,                 1.2792,               0.000496,               0.000496,               0.000496
                     98,                0.31265,                0.18263,                0.89912,                0.92598,                0.87572,                0.95755,                0.78558,                0.82665,                0.50273,                 1.2891,               0.000397,               0.000397,               0.000397
                     99,                0.31193,                0.18112,                0.90009,                0.92579,                0.87979,                0.96237,                0.79609,                0.80425,                0.49201,                 1.2719,               0.000298,               0.000298,               0.000298

Model summary (fused): 168 layers, 11135646 parameters, 0 gradients, 28.5 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 5/5 [00:33<00:00,  6.63s/it]
                   all        144        144      0.926       0.88      0.962      0.795
                     A        144          5          1      0.745      0.962      0.839
                     B        144          9          1      0.786       0.94       0.79
                     R        144          7      0.983          1      0.995      0.851
                     S        144          4      0.953          1      0.995      0.849
                     T        144          6      0.809      0.667      0.927      0.804
                     U        144          7          1      0.749      0.995      0.843
                     V        144          5      0.942        0.6      0.793      0.668
                     W        144          3       0.73          1      0.995      0.814
                     X        144          1      0.449          1      0.995      0.895
                     Y        144          8          1      0.878      0.995      0.724
                     Z        144          4      0.979          1      0.995      0.868
Speed: 0.7ms preprocess, 4.4ms inference, 0.0ms loss, 1.5ms postprocess per image
